ym,lawd_cd,sgg_nm,housing_type,deal_type,n_deals,n_cancelled,n_jeonse,n_wolse,n_new,n_renew,median_amount_manwon,median_price_per_pyeong,avg_area_m2,avg_build_year
2021-08,11440,마포구,아파트,매매,168,6,0,0,0,0,125000.0,5518.0,73.41,2004.0
2021-08,11440,마포구,아파트,전월세,1056,0,522,534,578,236,31000.0,1703.0,67.29,2006.0
2021-08,11440,마포구,연립다세대,매매,183,28,0,0,0,0,33500.0,2661.0,41.78,2005.0
2021-08,11440,마포구,연립다세대,전월세,711,0,477,234,442,138,16800.0,1589.0,35.99,2008.0
2021-08,11470,양천구,아파트,매매,150,3,0,0,0,0,87800.0,4168.0,76.22,2001.0
2021-08,11470,양천구,아파트,전월세,1215,0,780,435,540,290,25271.0,1305.0,68.93,2002.0
2021-08,11470,양천구,연립다세대,매매,231,9,0,0,0,0,23650.0,1922.0,42.38,2005.0
2021-08,11470,양천구,연립다세대,전월세,676,0,540,136,359,147,18900.0,1379.0,41.32,2008.0
2021-08,11500,강서구,아파트,매매,316,10,0,0,0,0,88000.0,4208.0,74.38,2003.0
2021-08,11500,강서구,아파트,전월세,1640,0,908,732,848,362,20745.0,1526.0,57.01,2007.0
2021-08,11500,강서구,연립다세대,매매,433,15,0,0,0,0,23000.0,1795.0,41.75,2008.0
2021-08,11500,강서구,연립다세대,전월세,1117,0,907,210,556,205,18700.0,1451.0,40.03,2010.0
2021-08,11530,구로구,아파트,매매,246,7,0,0,0,0,69000.0,3270.0,65.0,2001.0
2021-08,11530,구로구,아파트,전월세,1208,0,505,703,703,181,10000.0,626.0,59.75,2007.0
2021-08,11530,구로구,연립다세대,매매,239,7,0,0,0,0,24000.0,2054.0,42.17,2011.0
2021-08,11530,구로구,연립다세대,전월세,411,0,301,110,212,57,16000.0,1090.0,43.31,2007.0
2021-08,11545,금천구,아파트,매매,104,1,0,0,0,0,60000.0,3011.0,69.33,2004.0
2021-08,11545,금천구,아파트,전월세,300,0,176,124,167,41,22000.0,1358.0,60.13,2007.0
2021-08,11545,금천구,연립다세대,매매,187,6,0,0,0,0,26000.0,2207.0,45.14,2011.0
2021-08,11545,금천구,연립다세대,전월세,288,0,213,75,135,30,19025.0,1714.0,38.29,2013.0
2021-08,11560,영등포구,아파트,매매,174,6,0,0,0,0,99200.0,4780.0,71.98,2002.0
2021-08,11560,영등포구,아파트,전월세,819,0,502,317,349,233,35500.0,1660.0,71.46,1999.0
2021-08,11560,영등포구,연립다세대,매매,71,2,0,0,0,0,31000.0,3496.0,33.37,2012.0
2021-08,11560,영등포구,연립다세대,전월세,314,0,256,58,152,76,22500.0,2345.0,35.22,2012.0
2021-08,11590,동작구,아파트,매매,144,4,0,0,0,0,119500.0,5008.0,80.07,2003.0
2021-08,11590,동작구,아파트,전월세,701,0,442,259,350,183,47250.0,2081.0,73.24,2004.0
2021-08,11590,동작구,연립다세대,매매,175,5,0,0,0,0,31000.0,2255.0,49.26,2006.0
2021-08,11590,동작구,연립다세대,전월세,525,0,324,201,286,105,18900.0,1478.0,42.08,2008.0
2021-08,11620,관악구,아파트,매매,138,8,0,0,0,0,82000.0,3852.0,68.99,2004.0
2021-08,11620,관악구,아파트,전월세,503,0,299,204,232,130,33000.0,1655.0,63.6,2005.0
2021-08,11620,관악구,연립다세대,매매,242,10,0,0,0,0,24000.0,1656.0,46.41,2001.0
2021-08,11620,관악구,연립다세대,전월세,575,0,371,204,326,68,18000.0,1400.0,39.3,2008.0
2021-08,11650,서초구,아파트,매매,159,14,0,0,0,0,200000.0,6567.0,90.12,2004.0
2021-08,11650,서초구,아파트,전월세,1721,0,953,768,1130,326,32189.0,1697.0,74.44,2007.0
2021-08,11650,서초구,연립다세대,매매,231,7,0,0,0,0,40350.0,4323.0,39.46,2015.0
2021-08,11650,서초구,연립다세대,전월세,799,0,445,354,497,184,24000.0,1796.0,47.41,2009.0
2021-08,11680,강남구,아파트,매매,194,8,0,0,0,0,199750.0,7774.0,82.25,2001.0
2021-08,11680,강남구,아파트,전월세,1911,0,992,919,894,528,50000.0,2335.0,78.62,2001.0
2021-08,11680,강남구,연립다세대,매매,159,13,0,0,0,0,40150.0,4469.0,38.75,2012.0
2021-08,11680,강남구,연립다세대,전월세,626,0,340,286,294,126,20000.0,1722.0,40.66,2007.0
2021-08,11710,송파구,아파트,매매,203,7,0,0,0,0,162000.0,6556.0,83.38,2000.0
2021-08,11710,송파구,아파트,전월세,1691,0,877,814,840,485,40000.0,1874.0,73.6,2003.0
2021-08,11710,송파구,연립다세대,매매,282,14,0,0,0,0,34925.0,3315.0,42.65,2011.0
2021-08,11710,송파구,연립다세대,전월세,1648,0,914,734,775,441,17500.0,1468.0,40.49,2008.0
2021-08,11740,강동구,아파트,매매,185,8,0,0,0,0,114800.0,5133.0,69.85,2007.0
2021-08,11740,강동구,아파트,전월세,1556,0,770,786,741,322,22025.0,1386.0,59.85,2010.0
2021-08,11740,강동구,연립다세대,매매,182,16,0,0,0,0,30100.0,2542.0,43.21,2009.0
2021-08,11740,강동구,연립다세대,전월세,837,0,572,265,345,215,20000.0,1882.0,37.29,2013.0
2021-08,41111,수원시 장안구,아파트,매매,216,6,0,0,0,0,52650.0,2520.0,73.88,2001.0
2021-08,41111,수원시 장안구,아파트,전월세,376,0,281,95,250,77,26000.0,1216.0,69.54,2002.0
2021-08,41111,수원시 장안구,연립다세대,매매,106,4,0,0,0,0,12950.0,886.0,50.21,1998.0
2021-08,41111,수원시 장안구,연립다세대,전월세,184,0,113,71,111,9,7500.0,666.0,39.0,2002.0
2021-08,41113,수원시 권선구,아파트,매매,273,9,0,0,0,0,51000.0,2314.0,74.98,2006.0
2021-08,41113,수원시 권선구,아파트,전월세,690,0,427,263,340,176,23000.0,1052.0,70.05,2007.0
2021-08,41113,수원시 권선구,연립다세대,매매,168,4,0,0,0,0,14600.0,832.0,50.08,2002.0
2021-08,41113,수원시 권선구,연립다세대,전월세,264,0,189,75,150,35,10000.0,980.0,39.65,2010.0
2021-08,41115,수원시 팔달구,아파트,매매,73,3,0,0,0,0,45000.0,2312.0,64.65,2000.0
2021-08,41115,수원시 팔달구,아파트,전월세,337,0,204,133,182,71,15000.0,927.0,58.65,2004.0
2021-08,41115,수원시 팔달구,연립다세대,매매,77,3,0,0,0,0,15800.0,919.0,48.4,2002.0
2021-08,41115,수원시 팔달구,연립다세대,전월세,181,0,112,69,101,25,9000.0,883.0,35.5,2009.0
2021-08,41117,수원시 영통구,아파트,매매,433,14,0,0,0,0,68800.0,3034.0,77.13,2005.0
2021-08,41117,수원시 영통구,아파트,전월세,1058,0,773,285,476,308,29400.0,1376.0,72.3,2004.0
2021-08,41117,수원시 영통구,연립다세대,매매,12,0,0,0,0,0,23750.0,1882.0,66.32,2005.0
2021-08,41117,수원시 영통구,연립다세대,전월세,66,0,46,20,41,9,15350.0,1263.0,55.21,2009.0
2021-08,41131,성남시 수정구,아파트,매매,55,0,0,0,0,0,130000.0,5249.0,80.55,2009.0
2021-08,41131,성남시 수정구,아파트,전월세,324,0,196,128,130,95,42000.0,1837.0,67.84,2012.0
2021-08,41131,성남시 수정구,연립다세대,매매,67,2,0,0,0,0,21700.0,1676.0,48.2,1998.0
2021-08,41131,성남시 수정구,연립다세대,전월세,100,0,75,25,50,26,16000.0,1046.0,52.65,2001.0
2021-08,41133,성남시 중원구,아파트,매매,79,1,0,0,0,0,74500.0,3421.0,68.15,2003.0
2021-08,41133,성남시 중원구,아파트,전월세,229,0,164,65,114,47,25000.0,1384.0,65.41,2000.0
2021-08,41133,성남시 중원구,연립다세대,매매,98,5,0,0,0,0,24950.0,1764.0,49.2,1997.0
2021-08,41133,성남시 중원구,연립다세대,전월세,180,0,151,29,115,38,14000.0,976.0,49.38,1997.0
2021-08,41135,성남시 분당구,아파트,매매,290,5,0,0,0,0,129000.0,5394.0,83.18,1997.0
2021-08,41135,성남시 분당구,아파트,전월세,1590,0,1087,503,749,492,43788.0,1990.0,80.36,1999.0
2021-08,41135,성남시 분당구,연립다세대,매매,30,0,0,0,0,0,77000.0,3265.0,93.26,2002.0
2021-08,41135,성남시 분당구,연립다세대,전월세,148,0,104,44,63,44,31500.0,1654.0,70.2,2000.0
2021-08,41150,의정부시,아파트,매매,554,34,0,0,0,0,36400.0,1751.0,67.82,2004.0
2021-08,41150,의정부시,아파트,전월세,874,0,542,332,487,190,16800.0,900.0,63.52,2006.0
2021-08,41150,의정부시,연립다세대,매매,233,5,0,0,0,0,16300.0,1092.0,49.32,2004.0
2021-08,41150,의정부시,연립다세대,전월세,189,0,133,56,116,23,9000.0,605.0,48.08,2002.0
2021-08,41171,안양시 만안구,아파트,매매,160,6,0,0,0,0,53375.0,2536.0,62.81,2007.0
2021-08,41171,안양시 만안구,아파트,전월세,326,0,241,85,188,69,28000.0,1485.0,62.46,2007.0
2021-08,41171,안양시 만안구,연립다세대,매매,153,6,0,0,0,0,22000.0,1402.0,51.21,2003.0
2021-08,41171,안양시 만안구,연립다세대,전월세,188,0,133,55,105,20,12250.0,945.0,45.59,2002.0
2021-08,41173,안양시 동안구,아파트,매매,199,11,0,0,0,0,72000.0,3979.0,68.82,1999.0
2021-08,41173,안양시 동안구,아파트,전월세,897,0,695,202,391,305,27400.0,1583.0,63.54,1998.0
2021-08,41173,안양시 동안구,연립다세대,매매,37,1,0,0,0,0,29300.0,2422.0,41.89,1995.0
2021-08,41173,안양시 동안구,연립다세대,전월세,154,0,111,43,85,31,13750.0,1094.0,42.64,1997.0
2021-08,41192,부천시 원미구,아파트,매매,292,8,0,0,0,0,55600.0,2716.0,67.56,2001.0
2021-08,41192,부천시 원미구,아파트,전월세,633,0,459,174,363,190,22000.0,1382.0,62.88,1998.0
2021-08,41192,부천시 원미구,연립다세대,매매,199,6,0,0,0,0,18500.0,1232.0,46.73,2004.0
2021-08,41192,부천시 원미구,연립다세대,전월세,297,0,212,85,234,26,13600.0,992.0,43.73,2005.0
2021-08,41194,부천시 소사구,아파트,매매,153,7,0,0,0,0,51000.0,2317.0,73.29,2001.0
2021-08,41194,부천시 소사구,아파트,전월세,324,0,213,111,217,84,22000.0,1087.0,66.74,2003.0
2021-08,41194,부천시 소사구,연립다세대,매매,147,8,0,0,0,0,16500.0,1134.0,47.87,2004.0
2021-08,41194,부천시 소사구,연립다세대,전월세,189,0,152,37,141,26,13650.0,917.0,47.48,2003.0
2021-08,41196,부천시 오정구,아파트,매매,78,6,0,0,0,0,25350.0,1510.0,56.11,1998.0
2021-08,41196,부천시 오정구,아파트,전월세,130,0,75,55,100,20,9000.0,647.0,54.91,1999.0
2021-08,41196,부천시 오정구,연립다세대,매매,262,16,0,0,0,0,13500.0,1052.0,43.5,2000.0
2021-08,41196,부천시 오정구,연립다세대,전월세,303,0,216,87,247,25,9000.0,740.0,43.6,2000.0
2021-08,41210,광명시,아파트,매매,194,7,0,0,0,0,76500.0,3980.0,71.16,2001.0
2021-08,41210,광명시,아파트,전월세,724,0,488,236,304,235,24000.0,1348.0,62.95,1999.0
2021-08,41210,광명시,연립다세대,매매,101,2,0,0,0,0,28000.0,1881.0,48.94,1999.0
2021-08,41210,광명시,연립다세대,전월세,153,0,119,34,103,19,15000.0,1036.0,49.11,2001.0
2021-08,41220,평택시,아파트,매매,1183,45,0,0,0,0,23800.0,1115.0,71.57,2006.0
2021-08,41220,평택시,아파트,전월세,1902,0,963,939,1060,332,10200.0,569.0,64.1,2011.0
2021-08,41220,평택시,연립다세대,매매,169,8,0,0,0,0,9000.0,532.0,57.38,2001.0
2021-08,41220,평택시,연립다세대,전월세,249,0,102,147,161,10,1000.0,65.0,43.02,2009.0
2021-08,41250,동두천시,아파트,매매,153,9,0,0,0,0,21000.0,1071.0,68.56,2000.0
2021-08,41250,동두천시,아파트,전월세,214,0,157,57,132,22,12000.0,669.0,63.15,2004.0
2021-08,41250,동두천시,연립다세대,매매,56,4,0,0,0,0,6725.0,400.0,56.96,1998.0
2021-08,41250,동두천시,연립다세대,전월세,53,0,17,36,26,4,1000.0,87.0,50.18,2009.0
2021-08,41271,안산시 상록구,아파트,매매,202,15,0,0,0,0,38000.0,1785.0,70.03,1997.0
2021-08,41271,안산시 상록구,아파트,전월세,333,0,240,93,190,54,16200.0,896.0,66.9,1997.0
2021-08,41271,안산시 상록구,연립다세대,매매,347,26,0,0,0,0,14000.0,746.0,58.91,2008.0
