ym,housing_type,deal_type,n_deals,n_gu
2024-09,연립다세대,매매,3864,68
2024-09,연립다세대,전월세,14970,68
2024-10,아파트,매매,12276,68
2024-10,아파트,전월세,51473,68
2024-10,연립다세대,매매,4595,68
2024-10,연립다세대,전월세,17359,68
2024-11,아파트,매매,10025,68
2024-11,아파트,전월세,47450,68
2024-11,연립다세대,매매,3844,68
2024-11,연립다세대,전월세,15739,68
2024-12,아파트,매매,8892,68
2024-12,아파트,전월세,50510,68
2024-12,연립다세대,매매,3441,68
2024-12,연립다세대,전월세,16060,68
2025-01,아파트,매매,9269,68
2025-01,아파트,전월세,45564,68
2025-01,연립다세대,매매,2790,68
2025-01,연립다세대,전월세,15307,68
2025-02,아파트,매매,15533,68
2025-02,아파트,전월세,58296,68
2025-02,연립다세대,매매,4000,68
2025-02,연립다세대,전월세,18696,68
2025-03,아파트,매매,22341,68
2025-03,아파트,전월세,58579,68
2025-03,연립다세대,매매,5672,68
2025-03,연립다세대,전월세,18195,68
2025-04,아파트,매매,15542,68
2025-04,아파트,전월세,51145,68
2025-04,연립다세대,매매,4753,68
2025-04,연립다세대,전월세,16669,68
2025-05,아파트,매매,19414,68
2025-05,아파트,전월세,52779,68
2025-05,연립다세대,매매,5237,68
2025-05,연립다세대,전월세,17049,68
2025-06,아파트,매매,27192,68
2025-06,아파트,전월세,51879,68
2025-06,연립다세대,매매,6208,68
2025-06,연립다세대,전월세,17185,68
2025-07,아파트,매매,12130,68
2025-07,아파트,전월세,50122,68
2025-07,연립다세대,매매,4536,68
2025-07,연립다세대,전월세,16887,68
2025-08,아파트,매매,12349,68
2025-08,아파트,전월세,46612,68
2025-08,연립다세대,매매,4334,68
2025-08,연립다세대,전월세,15952,68
2025-09,아파트,매매,21062,68
2025-09,아파트,전월세,50684,68
2025-09,연립다세대,매매,5510,68
2025-09,연립다세대,전월세,15913,68
2025-10,아파트,매매,21670,68
2025-10,아파트,전월세,46655,68
2025-10,연립다세대,매매,5234,68
2025-10,연립다세대,전월세,14963,68
2025-11,아파트,매매,13573,68
2025-11,아파트,전월세,52689,68
2025-11,연립다세대,매매,4534,68
2025-11,연립다세대,전월세,16358,68
2025-12,아파트,매매,15247,68
2025-12,아파트,전월세,55517,68
2025-12,연립다세대,매매,4877,68
2025-12,연립다세대,전월세,18384,68
2026-01,아파트,매매,18379,68
2026-01,아파트,전월세,53218,68
2026-01,연립다세대,매매,5928,68
2026-01,연립다세대,전월세,19784,68
2026-02,아파트,매매,16741,68
2026-02,아파트,전월세,43901,68
2026-02,연립다세대,매매,4756,68
2026-02,연립다세대,전월세,17818,68
2026-03,아파트,매매,18780,68
2026-03,아파트,전월세,50740,68
2026-03,연립다세대,매매,6542,68
2026-03,연립다세대,전월세,19876,68
2026-04,아파트,매매,22949,68
2026-04,아파트,전월세,44623,68
2026-04,연립다세대,매매,7126,68
2026-04,연립다세대,전월세,17521,68
2026-05,아파트,매매,23826,68
2026-05,아파트,전월세,43340,68
2026-05,연립다세대,매매,6621,68
2026-05,연립다세대,전월세,16674,68
2026-06,아파트,매매,19236,68
2026-06,아파트,전월세,40516,68
2026-06,연립다세대,매매,5524,68
2026-06,연립다세대,전월세,16742,68
2026-07,아파트,매매,16179,68
2026-07,아파트,전월세,34668,68
2026-07,연립다세대,매매,4110,68
2026-07,연립다세대,전월세,12416,68
